tweet,autoridades,emojis,caixa_alta,hashtags,termos_tecnicos,repeticoes_pontuacao,verbos_primeira_pessoa,pronomes_primeira_pessoa
@marciatiburi Que bom que vc perguntou isso. Se fosse verdade isso eu acho que as pessoas receberiam o Bolsonaro como um pop star por onde ele passa 🤣🤣🤣 eu suspeito amiga que esse plano tbm faiô kkkk acho que as pessoas estão felizes com o Bolsonaro.,"@marciatiburi, Bolsonaro, Bolsonaro","🤣, 🤣, 🤣",,,,,"acho, acho","eu, eu"
"@LulaOficial O CARA NEM SABE O QUE FOI FEITO NESSES 4 ANOS DE BOLSONARO. TARCISÃO MANDA O MATERIAL PARA ELE, MAS COM FIGURINHA, PQ ELE NÃO SABE L","Cara nem sabe, Feito nesses, Bolsonaro, Material para ele, Figurinha, Pq ele não sabe",,"O, CARA, NEM, SABE, O, QUE, FOI, FEITO, NESSES, ANOS, DE, BOLSONARO, TARCISÃO, MANDA, O, MATERIAL, PARA, ELE, MAS, COM, FIGURINHA, PQ, ELE, NÃO, SABE, L",,,,,
"@UOL COMO SABEM SE O VOTO É SECRETO,ALIAS O MARCOLA  EM ESCUTAS DA PF DIZ MELHOR UM LULA NA MÃO DO QUE UM BOLSONARO NA PRESIDÊNCIA","@uol como sabem, Secreto, Alias, Marcola, Do que um bolsonaro na presidência",,"@UOL, COMO, SABEM, SE, O, VOTO, É, SECRETO, ALIAS, O, MARCOLA, EM, ESCUTAS, DA, PF, DIZ, MELHOR, UM, LULA, NA, MÃO, DO, QUE, UM, BOLSONARO, NA, PRESIDÊNCIA",,,,,
"@77_frota Folha metendo o pau em Bolsonaro a cada minuto: DEMOCRACIA
Jovem Pan ""falando de Bolsonaro direto"": 
CRIME

Ô Frota, não seja COVARDE, vai te catar e vira HOMEM!","Bolsonaro, Democracia
jovem pan, Bolsonaro, Crime, Covarde, Homem!",,"DEMOCRACIA, CRIME, Ô, COVARDE, HOMEM",,,,,
"@umrafas @jojopeupeu @OliverStuenkel Fato q bolsonaro é atacado todo santo dia pela midia. Ele devolve os ataques, afinal  midia pode sim ser confrontada numa democracia. Mas nunca censurou qq midia. Este é o fato. Q bolsonaro nao tomou nenhuma medida totalitaria na gestao dele. Nenhuma. Ha arrombos e confrontos..","@jojopeupeu @oliverstuenkel, Q bolsonaro, Gestao",,Q,,,,,
Esse vídeo das mulheres que votam em bozo….só da branca,,,,,,,,
"@Helenic71767598 @brasil247 Bolsonaro e Guedes arrebentaram as contas públicas do Brasil. Afinal, atualmente, o Déficit Público Nominal (anual) é de R$ 392 Bilhões (4,2% do PIB). E a Dívida Pública Líquida é de 58,2% do PIB, contra 35% em 2015. Dados são do próprio Banco Central: https://t.co/eRQ1bGmP1l","Guedes, Brasil, Déficit público nominal, Banco central",,"R$, PIB, E, PIB",,,,,
"@Eris_KatyCat @rainhadosincels Ainda assim, essas adaptações que mudam a etnia de um personagem é horrivel, digo, um exemplo, eu gosto bastante do Capitão-América, eu vejo todos filmes da Marvel. Se lançassem um Capitão América negro eu ficaria com muita raiva. ""Inclusão"" isso é só idiotice.","@rainhadosincels, Horrivel, Capitão-américa, Marvel, Capitão américa, Inclusão",,,,"américa, capitãoamérica, marcel",,"digo, gosto, vejo","eu, eu, eu"
@BolsonaroSP Bolsonaro nunca mais.,Bolsonaro,,,,,,,
"@Yoseff1412 Se vc votou no Ciro é porque você acredita no Projeto Nacional de Desenvolvimento. Em um eventual governo bolsonaro, ele irá na contra mão de tudo em que Ciro acredita. Então, deixe o orgulho de lado e vamos de 13, pelo PND!","Ciro, Projeto nacional de desenvolvimento, Bolsonaro, Ciro, Pnd",,PND,,,,vamos,
"@Bruxsuprema Kakakakkakak acho mais fácil o Bolsonaro ser reeleito que eu entrar em um relacionamento, mas de acontecer, não se preocupa, eu msm serei o agente do término kakakaak","Kakakakkakak, Bolsonaro",,,,,,"acho, serei","eu, eu"
